ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2012-09-01,arcos,cadiz,483.3,597.1,14.6,13.44,-0.03,-0.31,-0.03,92.04,94.18,92.26,
2012-09-01,almodovar,cadiz,476.9,1152.8,5.7,2.02,-0.01,-0.06,-1.79,35.46,36.49,66.84,
2012-09-01,barbate,cadiz,378.5,1011.0,228.1,107.24,1.17,-0.68,-72.19,47.02,47.31,78.66,
2012-09-01,bornos,cadiz,447.9,591.0,200.2,75.76,-0.11,-2.22,-85.66,37.84,38.95,80.63,
2012-09-01,celemin,cadiz,368.2,962.9,44.8,19.36,-0.03,-0.21,-6.0,43.21,43.68,56.61,
2012-09-01,guadalcacin,cadiz,461.7,904.1,800.3,569.46,-0.55,-5.17,-80.32,71.16,71.8,81.19,
2012-09-01,los hurones,cadiz,463.1,874.5,135.3,52.58,-0.21,-1.11,-55.24,38.86,39.68,79.69,
2012-09-01,zahara,cadiz,442.1,829.4,222.7,201.92,-0.14,-1.05,-14.88,90.67,91.14,97.35,
2012-09-01,arenoso,cordoba,148.0,539.3,167.0,65.23,0.0,0.0,-58.61,39.06,39.06,74.16,
2012-09-01,bembezar,cordoba,236.9,640.4,342.1,179.2,-0.43,-3.82,-105.49,52.38,53.5,83.22,
2012-09-01,guadalmellato,cordoba,225.9,602.7,146.6,49.47,-0.13,-0.78,-19.9,33.75,34.28,47.32,
2012-09-01,guadanunno,cordoba,271.3,683.5,1.6,0.8,0.0,-0.02,-0.24,49.84,51.25,65.0,
2012-09-01,iznajar,cordoba,203.4,596.4,981.1,550.74,-1.99,-14.61,-249.18,56.13,57.62,81.53,
2012-09-01,la brenna,cordoba,226.9,548.3,823.0,626.32,-2.11,-4.4,-84.43,76.1,76.64,86.36,
2012-09-01,martin gonzalo,cordoba,185.3,584.9,17.8,10.91,-0.02,-0.13,-4.36,61.28,62.02,85.79,
2012-09-01,puente nuevo,cordoba,224.0,620.4,281.7,155.08,-0.14,-0.7,-36.09,55.05,55.3,67.86,
2012-09-01,retortillo,cordoba,233.0,659.6,61.2,33.18,-0.04,-0.19,-16.34,54.21,54.53,80.92,
2012-09-01,san rafael de navallana,cordoba,164.6,547.9,156.5,55.26,-0.09,-1.15,-39.42,35.31,36.04,60.5,
2012-09-01,sierra boyera,cordoba,167.5,556.6,40.9,22.96,-0.08,-0.41,-10.96,56.14,57.14,82.93,
2012-09-01,yeguas,cordoba,175.1,532.1,228.7,99.81,-0.06,-0.29,-71.54,43.64,43.77,74.92,
2012-09-01,canales,granada,199.3,416.8,70.0,22.65,-0.24,-1.8,-29.43,32.36,34.93,74.4,
2012-09-01,colomera,granada,228.7,546.3,40.2,28.97,-0.12,-0.84,-8.24,72.06,74.15,92.56,
2012-09-01,cubillas,granada,196.7,386.2,18.7,4.3,-0.04,-0.23,-7.24,22.97,24.22,61.71,
2012-09-01,el portillo,granada,145.3,497.5,32.9,27.81,-0.04,-0.22,-1.01,84.54,85.2,87.6,
2012-09-01,francisco abellan,granada,147.6,342.6,58.2,30.56,-0.08,-0.66,-6.72,52.5,53.64,64.05,
2012-09-01,los bermejales,granada,184.5,612.2,102.6,71.41,-0.17,-1.25,-10.96,69.6,70.82,80.28,
2012-09-01,negratin,granada,125.5,421.1,567.1,338.09,-0.33,-2.96,-21.31,59.62,60.14,63.38,
2012-09-01,quentar,granada,216.0,419.7,13.5,12.08,0.01,0.04,1.24,89.47,89.19,80.3,
2012-09-01,san clemente,granada,152.5,422.4,117.9,18.52,-0.05,-0.41,-13.98,15.71,16.06,27.57,
2012-09-01,aracena,huelva,270.1,789.1,126.8,86.38,-0.44,-2.89,-37.01,68.12,70.4,97.31,
2012-09-01,zufre,huelva,206.0,725.8,175.3,136.68,0.08,0.08,-29.67,77.97,77.92,94.89,
2012-09-01,aguascebas,jaen,253.4,673.4,6.4,3.49,0.0,-0.03,-0.82,54.51,55.0,67.34,
2012-09-01,dannador,jaen,190.9,609.4,4.1,1.31,-0.01,-0.03,-2.5,32.06,32.68,92.93,
2012-09-01,giribaile,jaen,138.2,477.9,475.1,178.29,-1.32,-8.55,-216.84,37.53,39.33,83.17,
2012-09-01,guadalen,jaen,155.8,492.9,168.0,77.17,-0.57,-3.67,-54.5,45.94,48.12,78.38,
2012-09-01,guadalmena,jaen,162.6,606.8,346.5,238.7,-0.45,-4.21,-51.08,68.89,70.1,83.63,
2012-09-01,jandula,jaen,134.8,474.7,322.0,148.66,-0.09,-0.34,-98.65,46.17,46.27,76.8,
2012-09-01,la bolera,jaen,151.4,646.3,53.2,17.85,-0.09,-0.66,-12.94,33.54,34.79,57.88,
2012-09-01,la fernandina,jaen,168.6,519.2,244.5,134.46,-0.7,-4.65,-54.65,54.99,56.9,77.35,
2012-09-01,quiebrajano,jaen,226.0,688.4,31.6,17.91,-0.03,-0.17,-7.84,56.68,57.22,81.49,
2012-09-01,rumblar,jaen,167.8,479.6,126.0,69.57,-0.05,-1.74,-33.96,55.21,56.6,82.17,
2012-09-01,tranco de beas,jaen,257.1,789.0,498.2,271.24,-1.17,-7.91,-117.85,54.44,56.03,78.1,
2012-09-01,vadomojon,jaen,118.9,467.5,163.2,74.16,-0.6,-4.02,-52.87,45.44,47.9,77.84,
2012-09-01,viboras,jaen,164.9,526.1,19.1,7.73,-0.02,-0.12,-2.77,40.47,41.1,54.97,
2012-09-01,cala,sevilla,224.8,689.7,58.8,17.95,0.0,-0.09,-10.49,30.52,30.68,48.37,
2012-09-01,el agrio,sevilla,220.9,654.2,20.3,8.88,-0.01,-0.05,-8.47,43.73,43.99,85.47,
2012-09-01,el pintado,sevilla,208.8,691.7,212.8,107.15,-0.17,-2.31,-57.54,50.35,51.44,77.39,
2012-09-01,gergal,sevilla,215.7,548.9,35.0,16.23,-0.01,-0.19,-12.99,46.36,46.91,83.49,
2012-09-01,huesna,sevilla,277.8,619.8,134.6,101.4,-0.1,-0.77,-22.54,75.33,75.91,92.08,
2012-09-01,jose toran,sevilla,245.7,666.9,113.2,55.68,-0.29,-1.32,-38.45,49.19,50.35,83.15,
2012-09-01,la minilla,sevilla,250.5,699.2,57.8,39.18,0.0,-0.15,-10.22,67.79,68.04,85.47,
2012-09-01,melonares,sevilla,222.0,635.1,185.6,118.36,-0.22,-1.09,-39.88,63.77,64.36,85.26,
2012-09-01,puebla de cazalla,sevilla,210.3,520.3,73.7,32.77,-0.13,-0.55,-19.2,44.46,45.21,70.52,
2012-09-01,torre del aguila,sevilla,194.5,540.3,64.4,8.89,-0.04,-0.24,-27.14,13.81,14.18,55.95,
2012-09-01,beninar,almeria,206.6,491.0,61.68,6.99,-0.04,-0.22,-9.81,11.33,11.69,27.24,
2012-09-01,cuevas de almanzora,almeria,142.3,263.0,161.3,9.84,0.02,-0.03,-1.16,6.1,6.12,6.82,
2012-09-01,charco redondo,cadiz,463.5,1050.9,81.6,39.16,-0.15,-1.18,-21.77,47.99,49.44,74.67,
2012-09-01,guadarranque,cadiz,367.7,894.2,87.7,49.57,-0.03,-0.37,-32.6,56.52,56.94,93.69,
2012-09-01,beznar,granada,247.9,446.2,52.9,39.32,-0.09,-0.65,-6.74,74.34,75.56,87.07,
2012-09-01,rules,granada,286.3,490.9,110.8,75.97,-0.19,-1.35,-13.0,68.56,69.78,80.3,
2012-09-01,conde de guadalhorce,malaga,269.7,461.6,66.5,30.67,-0.16,-0.84,-18.43,46.12,47.38,73.83,
2012-09-01,el limonero,malaga,275.5,481.9,24.7,10.42,0.0,-0.04,-2.91,42.2,42.35,53.97,
2012-09-01,casasola,malaga,289.9,467.5,23.45,12.14,-0.01,-0.06,-9.47,51.77,52.03,92.15,
2012-09-01,guadalteba,malaga,242.5,454.3,153.3,102.36,-0.21,-1.63,-40.36,66.77,67.83,93.1,
2012-09-01,guadalhorce,malaga,242.5,453.2,125.7,93.65,-0.16,-1.04,-22.73,74.51,75.33,92.59,
2012-09-01,la concepcion,malaga,477.4,758.9,61.9,27.83,-0.24,-1.43,-21.13,44.96,47.27,79.1,
2012-09-01,la vinnuela,malaga,351.9,603.2,165.4,121.66,-0.18,-1.25,-32.1,73.55,74.31,92.96,
2012-09-01,andevalo,huelva,273.5,680.7,634.4,451.38,-0.23,-1.55,-114.59,71.15,71.4,89.21,
2012-09-01,chanza,huelva,284.5,510.7,341.4,171.46,-0.94,-6.36,-74.32,50.22,52.09,71.99,
2012-09-01,corumbel bajo,huelva,407.2,637.0,18.0,7.3,-0.04,-0.34,-8.71,40.55,42.44,88.94,
2012-09-01,jarrama,huelva,507.5,793.1,42.6,28.91,-0.08,-0.55,-7.97,67.86,69.15,86.57,
2012-09-01,los machos,huelva,565.3,583.8,12.0,4.65,-0.01,-0.02,-0.9,38.76,38.92,46.25,
2012-09-01,piedras,huelva,565.3,571.0,59.5,26.85,0.0,-0.08,-10.37,45.13,45.26,62.55,
2012-10-01,arcos,cadiz,0.0,16.2,14.6,13.33,0.0,0.14,-0.17,91.27,90.34,92.4,
2012-10-01,almodovar,cadiz,0.9,22.3,5.7,1.91,-0.01,0.05,-1.52,33.51,32.63,60.18,
2012-10-01,barbate,cadiz,0.0,27.9,228.1,101.11,0.97,0.65,-72.62,44.33,44.04,76.16,
2012-10-01,bornos,cadiz,0.0,16.0,200.2,71.56,0.0,1.32,-85.64,35.74,35.08,78.52,
2012-10-01,celemin,cadiz,0.1,23.6,44.8,18.51,0.0,0.13,-6.39,41.32,41.03,55.58,
2012-10-01,guadalcacin,cadiz,0.0,25.5,800.3,558.23,-0.28,-0.14,-79.79,69.75,69.77,79.72,
2012-10-01,los hurones,cadiz,0.0,16.9,135.3,50.5,0.31,1.98,-51.88,37.32,35.86,75.67,
2012-10-01,zahara,cadiz,0.0,21.1,222.7,199.19,0.0,-0.19,-14.75,89.44,89.53,96.07,
2012-10-01,arenoso,cordoba,0.0,12.2,167.0,64.72,-0.04,0.4,-58.41,38.75,38.51,73.73,
2012-10-01,bembezar,cordoba,0.0,17.4,342.1,169.72,0.17,-0.3,-104.87,49.61,49.7,80.27,
