ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2012-08-31,arcos,cadiz,483.3,594.3,14.6,13.47,-0.02,-0.28,-0.02,92.23,94.18,92.4,
2012-08-31,almodovar,cadiz,476.9,1150.6,5.7,2.03,-0.01,-0.06,-1.79,35.61,36.67,67.02,
2012-08-31,barbate,cadiz,378.5,1008.9,228.1,106.07,-0.33,-2.19,-73.82,46.5,47.46,78.86,
2012-08-31,bornos,cadiz,447.9,588.2,200.2,75.87,-0.35,-2.58,-85.74,37.9,39.19,80.72,
2012-08-31,celemin,cadiz,368.2,960.9,44.8,19.39,0.0,-0.24,-6.08,43.29,43.82,56.85,
2012-08-31,guadalcacin,cadiz,461.7,901.5,800.3,570.01,-0.7,-5.46,-80.23,71.22,71.91,81.25,
2012-08-31,los hurones,cadiz,463.1,872.4,135.3,52.79,-0.16,-1.06,-55.19,39.01,39.8,79.81,
2012-08-31,zahara,cadiz,442.1,825.7,222.7,202.06,-0.14,-1.06,-14.81,90.73,91.21,97.38,
2012-08-31,arenoso,cordoba,148.0,533.7,167.0,65.23,0.0,0.0,-58.63,39.06,39.06,74.17,
2012-08-31,bembezar,cordoba,236.9,637.7,342.1,179.63,-0.6,-3.95,-105.51,52.51,53.66,83.35,
2012-08-31,guadalmellato,cordoba,225.9,597.1,146.6,49.6,-0.09,-0.74,-19.92,33.83,34.34,47.42,
2012-08-31,guadanunno,cordoba,271.3,679.5,1.6,0.8,0.0,-0.02,-0.25,50.13,51.25,65.63,
2012-08-31,iznajar,cordoba,203.4,592.3,981.1,552.73,-2.19,-14.83,-249.18,56.34,57.85,81.74,
2012-08-31,la brenna,cordoba,226.9,546.1,823.0,628.43,-0.17,-4.89,-81.26,76.36,76.95,86.23,
2012-08-31,martin gonzalo,cordoba,185.3,579.7,17.8,10.93,-0.02,-0.12,-4.35,61.42,62.08,85.84,
2012-08-31,puente nuevo,cordoba,224.0,616.1,281.7,155.22,-0.14,-0.7,-37.24,55.1,55.35,68.32,
2012-08-31,retortillo,cordoba,233.0,656.6,61.2,33.22,0.0,-0.15,-16.34,54.27,54.53,80.98,
2012-08-31,san rafael de navallana,cordoba,164.6,541.7,156.5,55.35,-0.72,-1.31,-39.51,35.37,36.2,60.61,
2012-08-31,sierra boyera,cordoba,167.5,552.2,40.9,23.04,-0.03,-0.4,-10.93,56.32,57.31,83.06,
