ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2023-12-10,beninar,almeria,33.8,152.5,61.68,4.92,-0.01,-0.04,-3.52,7.98,8.04,13.68,7.89
2023-12-10,cuevas de almanzora,almeria,6.4,86.1,161.3,17.65,-0.07,-0.48,-9.45,10.94,11.24,16.8,17.76
2023-12-10,almodovar,cadiz,139.1,355.8,5.7,2.27,-0.01,-0.02,-0.97,39.82,40.18,56.84,2.7
2023-12-10,arcos,cadiz,139.4,189.4,14.6,12.17,0.0,-0.03,-0.37,83.36,83.56,85.89,13.27
2023-12-10,barbate,cadiz,106.2,312.5,228.1,20.66,0.0,0.0,-10.56,9.06,9.06,13.69,72.48
2023-12-10,bornos,cadiz,133.8,188.9,200.2,19.02,0.06,0.38,-11.45,9.5,9.31,15.22,59.37
2023-12-10,celemin,cadiz,110.6,301.8,44.8,3.96,0.0,0.0,-2.39,8.84,8.84,14.17,14.37
2023-12-10,charco redondo,cadiz,166.0,320.6,81.6,13.85,0.01,0.02,-11.25,16.97,16.95,30.76,31.31
2023-12-10,guadalcacin,cadiz,107.8,290.2,800.3,136.79,-0.11,-0.72,-64.48,17.09,17.18,25.15,336.26
2023-12-10,guadarranque,cadiz,147.1,276.6,87.7,26.06,-0.06,-0.54,-7.95,29.71,30.33,38.78,40.26
2023-12-10,los hurones,cadiz,140.2,263.4,135.3,40.73,0.04,0.09,-0.14,30.1,30.04,30.21,70.85
2023-12-10,zahara - el gastor,cadiz,128.8,232.1,222.7,8.49,0.04,0.29,-24.48,3.81,3.68,14.8,102.31
2023-12-10,arenoso,cordoba,126.9,168.9,167.0,24.48,0.03,0.3,2.42,14.66,14.48,13.21,39.44
2023-12-10,bembezar,cordoba,185.2,201.1,342.1,36.48,0.08,1.11,-12.33,10.66,10.34,14.27,128.4
2023-12-10,guadalmellato,cordoba,184.3,189.0,146.6,40.91,0.01,0.3,-11.71,27.91,27.7,35.89,77.68
2023-12-10,guadanunno,cordoba,218.1,222.6,1.6,1.0,0.0,0.01,0.01,62.5,61.88,61.88,1.15
2023-12-10,iznajar,cordoba,116.1,180.6,981.1,152.63,0.34,2.3,26.93,15.56,15.32,12.81,301.72
2023-12-10,la brenna,cordoba,179.9,190.5,823.0,91.75,0.06,0.49,10.02,11.15,11.09,9.93,156.36
2023-12-10,martin gonzalo,cordoba,223.0,182.4,17.8,2.16,0.0,0.02,-0.37,12.13,12.02,14.21,8.48
2023-12-10,puente nuevo,cordoba,162.0,192.2,281.7,31.92,0.03,0.31,-7.44,11.33,11.22,13.97,73.46
2023-12-10,retortillo,cordoba,179.0,215.0,61.2,7.64,0.0,0.06,-3.43,12.48,12.39,18.09,25.89
2023-12-10,san rafael de navallana,cordoba,205.1,173.1,156.5,62.7,0.0,0.14,17.91,40.06,39.97,28.62,51.69
2023-12-10,sierra boyera,cordoba,183.0,160.6,40.9,0.94,0.01,0.13,-0.87,2.3,1.98,4.43,15.41
2023-12-10,yeguas,cordoba,166.8,164.9,228.7,37.24,0.08,0.71,4.87,16.28,15.97,14.15,62.59
2023-12-10,beznar,granada,58.0,132.8,52.9,25.23,-0.01,-0.16,-9.73,47.69,48.0,66.09,39.06
2023-12-10,canales,granada,98.5,119.2,70.0,33.18,0.04,0.13,-10.32,47.4,47.21,62.14,48.89
2023-12-10,colomera,granada,98.8,152.7,40.2,3.96,0.0,0.02,0.49,9.85,9.8,8.63,12.89
2023-12-10,cubillas,granada,76.0,112.6,18.7,5.51,0.0,0.05,0.2,29.47,29.2,28.4,6.99
2023-12-10,el portillo,granada,45.6,125.8,32.9,10.54,0.08,0.24,-1.52,32.04,31.31,36.66,24.14
2023-12-10,francisco abellan,granada,48.4,85.8,58.2,7.83,0.01,0.09,-1.47,13.45,13.3,15.98,20.47
2023-12-10,los bermejales,granada,80.2,182.3,102.6,12.97,0.01,0.14,1.02,12.64,12.5,11.65,38.31
2023-12-10,negratin,granada,47.6,107.7,567.1,115.78,0.16,0.97,8.52,20.42,20.25,18.91,185.35
2023-12-10,quentar,granada,132.1,118.6,13.5,6.53,0.02,0.13,-1.94,48.37,47.41,62.74,8.12
2023-12-10,rules,granada,46.1,149.8,110.8,36.57,-0.02,-0.31,-22.49,33.01,33.29,53.3,78.26
2023-12-10,san clemente,granada,58.6,108.7,117.9,9.5,-0.02,0.04,-1.98,8.06,8.02,9.74,16.0
2023-12-10,andevalo,huelva,204.2,231.9,634.4,160.9,0.03,0.78,-41.6,25.36,25.24,31.92,340.92
2023-12-10,aracena,huelva,271.9,246.5,126.8,31.16,0.04,0.58,4.45,24.57,24.12,21.06,53.57
2023-12-10,chanza,huelva,172.5,178.8,341.4,143.93,-0.05,1.29,-28.62,42.16,41.78,50.54,167.45
2023-12-10,corumbel bajo,huelva,321.4,200.7,18.0,4.12,0.0,0.01,1.98,22.89,22.83,11.89,5.41
2023-12-10,jarrama,huelva,431.6,260.6,42.6,21.6,0.07,0.52,3.31,50.7,49.48,42.93,28.55
2023-12-10,los machos,huelva,216.5,196.2,12.0,9.36,0.0,-0.08,-2.64,78.0,78.67,100.0,9.43
2023-12-10,piedras,huelva,216.5,193.1,59.5,22.53,-0.18,-0.46,-36.97,37.87,38.64,100.0,44.39
2023-12-10,zufre,huelva,257.6,234.1,175.3,25.01,0.04,0.6,-0.89,14.27,13.92,14.77,86.6
2023-12-10,aguascebas,jaen,228.7,170.4,6.4,3.49,0.0,0.01,0.16,54.53,54.38,52.03,4.32
2023-12-10,dannador,jaen,147.1,164.9,4.1,3.18,0.0,-0.04,1.17,77.56,78.54,49.02,3.1
2023-12-10,giribaile,jaen,118.5,131.0,475.1,79.53,0.07,0.39,11.97,16.74,16.66,14.22,113.58
2023-12-10,guadalen,jaen,119.9,138.5,168.0,25.63,0.01,-0.01,7.31,15.26,15.26,10.9,43.28
2023-12-10,guadalmena,jaen,155.1,164.5,346.5,58.4,-0.04,-0.23,4.38,16.85,16.92,15.59,108.3
2023-12-10,jandula,jaen,163.4,140.5,322.0,62.49,0.08,0.6,18.44,19.41,19.22,13.68,91.25
2023-12-10,la bolera,jaen,68.9,157.8,53.2,10.9,0.08,0.31,-0.24,20.49,19.91,20.94,21.2
2023-12-10,la fernandina,jaen,151.1,153.2,244.5,69.64,0.01,0.01,4.59,28.48,28.48,26.61,86.53
2023-12-10,quiebrajano,jaen,189.5,182.1,31.6,5.81,-0.01,-0.07,-2.09,18.39,18.61,25.0,13.05
2023-12-10,rumblar,jaen,132.6,140.9,126.0,23.38,0.01,0.06,9.23,18.56,18.51,11.23,46.74
2023-12-10,tranco de beas,jaen,149.7,198.9,498.2,119.49,0.25,1.07,15.99,23.98,23.77,20.77,188.13
2023-12-10,vadomojon,jaen,91.0,138.3,163.2,11.18,0.03,0.25,-0.14,6.85,6.7,6.94,48.17
2023-12-10,viboras,jaen,110.0,145.8,19.1,3.83,0.01,0.06,-0.81,20.05,19.74,24.29,7.85
2023-12-10,casasola,malaga,33.0,153.7,21.7,6.39,0.0,-0.02,-4.05,29.45,29.54,48.11,11.02
2023-12-10,conde de guadalhorce,malaga,0.2,149.8,66.5,11.2,0.0,0.03,-5.99,16.84,16.8,25.85,33.34
2023-12-10,el limonero,malaga,30.9,167.7,22.3,5.0,-0.01,-0.05,-4.05,22.42,22.65,40.58,11.11
2023-12-10,guadalhorce,malaga,47.0,147.8,125.7,20.85,-0.02,-0.51,-20.38,16.59,16.99,32.8,70.2
2023-12-10,guadalteba,malaga,47.0,148.4,153.3,36.95,-0.08,-0.56,-47.79,24.1,24.47,55.28,108.1
2023-12-10,la concepcion,malaga,42.5,243.4,61.9,14.18,-0.06,-0.25,-14.53,22.91,23.31,46.38,34.65
2023-12-10,la vinnuela,malaga,48.8,192.1,165.4,12.44,-0.01,-0.02,-2.88,7.52,7.53,9.26,42.63
2023-12-10,cala,sevilla,207.9,227.2,58.8,28.74,0.02,0.44,7.41,48.88,48.13,36.28,19.67
2023-12-10,el agrio,sevilla,196.9,201.4,20.3,9.94,0.03,0.26,2.73,48.97,47.68,35.52,10.64
2023-12-10,el pintado,sevilla,230.6,216.4,212.8,41.98,0.08,0.75,-11.02,19.73,19.38,24.91,111.45
2023-12-10,gergal,sevilla,179.2,180.2,35.0,17.73,0.0,0.16,-1.62,50.66,50.2,55.29,27.01
2023-12-10,huesna,sevilla,228.0,200.4,134.6,45.32,-0.02,0.05,-9.87,33.67,33.63,41.0,75.48
2023-12-10,jose toran,sevilla,216.4,216.3,113.2,17.11,0.02,0.12,2.42,15.11,15.01,12.98,33.28
2023-12-10,la minilla,sevilla,236.2,220.6,57.8,30.67,0.02,0.13,-10.11,53.06,52.84,70.55,44.03
2023-12-10,melonares,sevilla,194.8,202.9,185.6,82.96,-0.18,-0.71,-28.49,44.7,45.08,60.05,145.19
2023-12-10,puebla de cazalla,sevilla,121.5,153.5,73.7,0.11,0.0,0.01,-1.86,0.15,0.14,2.67,17.71
2023-12-10,torre del aguila,sevilla,122.1,164.2,64.4,1.88,-0.02,-0.08,-5.34,2.92,3.04,11.21,12.31
2023-12-11,beninar,almeria,33.8,186.0,61.68,4.92,0.0,-0.03,-3.52,7.98,8.03,13.68,7.89
2023-12-11,cuevas de almanzora,almeria,6.4,92.9,161.3,17.58,-0.07,-0.49,-9.44,10.9,11.2,16.75,17.76
2023-12-11,almodovar,cadiz,139.1,462.6,5.7,2.27,0.0,-0.02,-1.0,39.82,40.18,57.37,2.7
2023-12-11,arcos,cadiz,139.4,233.3,14.6,12.17,0.0,-0.1,-0.48,83.36,84.04,86.64,13.27
2023-12-11,barbate,cadiz,106.2,383.5,228.1,20.66,0.0,0.0,-12.49,9.06,9.06,14.53,72.48
2023-12-11,bornos,cadiz,133.8,231.7,200.2,19.07,0.05,0.43,-13.12,9.53,9.31,16.08,59.37
2023-12-11,celemin,cadiz,110.6,373.7,44.8,3.96,0.0,0.0,-2.48,8.84,8.84,14.38,14.37
2023-12-11,charco redondo,cadiz,166.0,415.5,81.6,13.83,-0.02,0.02,-11.34,16.95,16.92,30.85,31.31
2023-12-11,guadalcacin,cadiz,107.8,350.2,800.3,136.68,-0.11,-0.78,-65.14,17.08,17.18,25.22,336.26
2023-12-11,guadarranque,cadiz,147.1,357.5,87.7,26.03,-0.03,-0.39,-8.14,29.68,30.13,38.96,40.26
2023-12-11,los hurones,cadiz,140.2,327.9,135.3,40.73,0.0,0.14,-1.59,30.1,30.0,31.28,70.85
2023-12-11,zahara - el gastor,cadiz,128.8,287.8,222.7,8.51,0.02,0.3,-24.6,3.82,3.69,14.87,102.31
